#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,6.989327,0.000000,0.000000,2.844062,4.422965,0.016641,15.917497
0.000000,0.000000,6.637493,0.000000,0.000000,4.271372,4.671263,0.017447,15.210104
0.000000,0.000000,6.647677,0.000000,0.000000,4.856276,4.239369,0.100456,14.943545
0.000000,0.000000,6.789346,0.000000,0.000000,4.552569,6.457586,0.021523,16.797473
0.000000,0.000000,8.398429,0.000000,0.000000,4.445205,6.555107,0.043153,18.731859
0.000000,0.000000,9.325186,0.000000,0.000000,5.107331,6.454162,0.092513,22.165413
0.000000,0.000000,10.073889,0.000000,0.000000,2.154209,3.900528,0.382732,22.328004
0.000000,0.000000,8.974623,0.000000,0.000000,2.146690,3.766967,0.013027,22.221017
0.000000,0.000000,6.572007,0.000000,0.000000,2.102929,4.007157,0.068813,14.833632
0.000000,0.000000,6.544984,0.000000,0.000000,1.935368,3.869558,0.074338,13.526415
0.000000,0.000000,6.526119,0.000000,0.000000,1.997992,3.883917,0.097406,13.726368
0.000000,0.000000,6.680444,0.000000,0.000000,1.885780,4.442701,0.014099,13.593683
0.000000,0.000000,6.489393,0.000000,0.000000,2.309758,4.140355,0.016771,13.479281
0.000000,0.000000,6.654573,0.000000,0.000000,1.971715,4.315619,0.083955,14.068636
0.000000,0.000000,6.801121,0.000000,0.000000,2.638350,4.363749,0.099486,15.080959
0.000000,0.000000,6.729915,0.000000,0.000000,3.772581,6.889731,0.023414,14.201442
0.000000,0.000000,7.088610,0.000000,0.000000,4.593880,6.557191,0.048815,15.203703
0.000000,0.000000,9.767833,0.000000,0.000000,3.750225,6.712249,0.043492,21.694121
0.000000,0.000000,10.678276,0.000000,0.000000,3.438728,4.061330,0.060957,23.184534
0.000000,0.000000,11.024536,0.000000,0.000000,2.435511,4.701247,0.014775,22.836608
0.000000,0.000000,10.408838,0.000000,0.000000,4.799603,7.617099,0.026069,19.094534
0.000000,0.000000,8.068440,0.000000,0.000000,4.608319,7.491429,0.022765,16.381288
0.000000,0.000000,9.851821,0.000000,0.000000,2.582779,7.122549,0.098867,23.598297
0.000000,0.000000,10.998891,0.000000,0.000000,2.477516,4.990611,0.015670,24.362773
0.000000,0.000000,7.089997,0.000000,0.000000,2.788013,4.573866,0.017643,18.110445
0.000000,0.000000,8.448993,0.000000,0.000000,2.459205,4.425601,0.016507,17.978493
0.000000,0.000000,6.905479,0.000000,0.000000,2.294535,4.056679,0.062828,15.403024
0.000000,0.000000,6.742144,0.000000,0.000000,2.037663,4.811097,0.014765,14.760041
